    1 712.828552  708.483582  52515323817  74.123558
    2 303.750061  301.995239  34555921930  114.425385
    4 211.408371  210.099884  33249748933  158.256866
    8 190.425934  189.128571  36899154019  195.100906
   16 181.051941  179.991058  37633719734  209.086609
   32 202.606491  201.070709  47474540389  236.108688
   64 209.357147  207.984833  49350896012  237.281235
  128 214.048737  212.826035  50508860030  237.324646
  256 243.995071  242.400177  51316365961  211.701035
  512 269.240265  267.409637  51392850149  192.187744
 1024 389.170135  386.695343  51880233805  134.163071
 2048 476.190247  473.346863  53827877490  113.717621
