2
    1 3.811716  3.782085  272508139  72.052353
    2 2.892296  2.871848  194352876  67.675194
    4 1.824093  1.810116  160511193  88.674538
    8 1.419193  1.408427  163653746  116.196114
   16 1.411167  1.394621  213916563  153.386871
   32 1.318208  1.306046  222195559  170.128433
   64 1.599053  1.580784  280820278  177.646210
  128 1.932061  1.914421  246644394  128.834991
  256 2.075889  2.061181  243029228  117.907761
  512 2.187806  2.161692  252913342  116.997864
 1024 2.325148  2.301909  226401459  98.353783
 2048 2.505454  2.487226  223501198  89.859627
 4096 2.672695  2.653385  226961866  85.536728
 8192 2.715079  2.694672  223709573  83.019218
