2
    1 3.815079  3.787571  272220423  71.872032
    2 2.898592  2.875579  190850248  66.369324
    4 1.838145  1.811645  161059902  88.902573
    8 1.439728  1.428801  164541753  115.160728
   16 1.366937  1.353499  211699401  156.408981
   32 1.298218  1.283306  222471206  173.357880
   64 1.670713  1.657828  274174830  165.381943
  128 1.929482  1.914406  243875021  127.389397
  256 2.087429  2.063746  246313918  119.352829
  512 2.183763  2.169131  244636598  112.780922
 1024 2.351489  2.333875  226628143  97.103806
 2048 2.554957  2.535750  223422788  88.109154
 4096 2.665411  2.646222  226191075  85.476982
 8192 2.727670  2.688813  223498166  83.121498
