    2 0.000039  0.000036  12  0.333333
    4 0.000038  0.000036  19  0.527778
    8 0.000040  0.000038  73  1.921053
   16 0.000040  0.000037  303  8.189189
   32 0.000052  0.000050  1183  23.660000
   64 0.000088  0.000086  4896  56.930233
  128 0.000259  0.000257  20611  80.198441
  256 0.001113  0.001100  97937  89.033638
  512 0.003222  0.003179  561503  176.628815
 1024 0.014390  0.014241  2294073  161.089325
 2048 0.071394  0.070496  10481073  148.676132
 4096 0.409903  0.406509  58091437  142.903198
 8192 1.571394  1.556753  233800365  150.184631
