    2 0.000041  0.000039  7  0.179487
    4 0.000038  0.000035  23  0.657143
    8 0.000040  0.000038  75  1.973684
   16 0.000041  0.000039  306  7.846154
   32 0.000051  0.000049  1177  24.020409
   64 0.000085  0.000083  4896  58.987953
  128 0.000384  0.000382  19266  50.434555
  256 0.001028  0.001015  95500  94.088669
  512 0.003271  0.003236  561073  173.384735
 1024 0.014772  0.014473  2289777  158.210251
 2048 0.070992  0.070310  10548999  150.035538
 4096 0.349553  0.346703  58914128  169.926788
 8192 1.503000  1.490775  236233342  158.463440
