    2 0.000051  0.000048  10  0.208333
    4 0.000053  0.000052  22  0.423077
    8 0.000062  0.000061  79  1.295082
   16 0.000096  0.000094  270  2.872340
   32 0.000249  0.000247  1067  4.319838
   64 0.000846  0.000833  5343  6.414165
  128 0.003235  0.003199  22886  7.154110
  256 0.012405  0.012298  207353  16.860708
  512 0.051487  0.051069  957861  18.756212
 1024 0.254311  0.252627  3765414  14.905034
 2048 1.096969  1.089031  15050703  13.820271
 4096 4.614291  4.580365  59638013  13.020362
 8192 18.924999  18.763889  238395422  12.705010
